internal_id	form_key	location	method	gate	gate_name	level_min	level_max	slot_index	earliest_gate	gate_basis	confidence
1	Bulbasaur	Pallet Town Oak's Lab	fixed-gift	0	Brock	NA	NA	NA	0	direct	Measured
1	Bulbasaur	Celadon City Mansion 1F	fixed-gift	3	Surge	NA	NA	NA	0	direct	Measured
1	Bulbasaur	Route 13	wild-day	9	Koga	48	50	6	0	direct	Measured
1	Bulbasaur	Route 13	wild-day	9	Koga	48	50	7	0	direct	Measured
4	Charmander	Pallet Town Oak's Lab	fixed-gift	0	Brock	NA	NA	NA	0	direct	Measured
4	Charmander	Celadon City Mansion 1F	fixed-gift	3	Surge	NA	NA	NA	0	direct	Measured
4	Charmander	Route 13	wild-day	9	Koga	48	50	10	0	direct	Measured
4	Charmander	Route 13	wild-day	9	Koga	48	50	11	0	direct	Measured
4	Charmander	Route 13	wild-night	9	Koga	48	50	6	0	direct	Measured
4	Charmander	Route 13	wild-night	9	Koga	48	50	7	0	direct	Measured
7	Squirtle	Pallet Town Oak's Lab	fixed-gift	0	Brock	NA	NA	NA	0	direct	Measured
7	Squirtle	Celadon City Mansion 1F	fixed-gift	3	Surge	NA	NA	NA	0	direct	Measured
10	Caterpie	Viridian Forest	wild-day	0	Brock	4	6	0	0	direct	Measured
10	Caterpie	Viridian Forest Heart	wild-day	0	Brock	4	6	0	0	direct	Measured
13	Weedle	Viridian Forest	wild-day	0	Brock	4	6	1	0	direct	Measured
13	Weedle	Viridian Forest Heart	wild-day	0	Brock	4	6	1	0	direct	Measured
16	Pidgey	Route 1	wild-day	0	Brock	3	5	6	0	direct	Measured
16	Pidgey	Route 1	wild-day	0	Brock	3	5	7	0	direct	Measured
16	Pidgey	Route 1	wild-night	0	Brock	3	5	6	0	direct	Measured
16	Pidgey	Route 1	wild-night	0	Brock	3	5	7	0	direct	Measured
19	Rattata	Route 1	wild-day	0	Brock	2	4	2	0	direct	Measured
20	Raticate	Pokemon Mansion 1F	wild-day	11	Blaine	63	65	0	0	via-evolution	Measured
20	Raticate	Pokemon Mansion B1F	wild-day	11	Blaine	63	65	0	0	via-evolution	Measured
21	Spearow	Viridian City	wild-day	0	Brock	3	5	3	0	direct	Measured
21	Spearow	Viridian City	wild-night	0	Brock	3	5	3	0	direct	Measured
21	Spearow	Route 3	wild-day	1	Archer-1	10	12	2	0	direct	Measured
21	Spearow	Route 3	wild-night	1	Archer-1	10	12	2	0	direct	Measured
22	Fearow	Route 23	wild-day	15	Brendan	33	35	1	0	via-evolution	Measured
22	Fearow	Route 23	wild-night	15	Brendan	33	35	1	0	via-evolution	Measured
23	Ekans	Pewter City	wild-day	0	Brock	7	9	8	0	direct	Measured
23	Ekans	Pewter City	wild-night	0	Brock	7	9	8	0	direct	Measured
23	Ekans	Route 3	wild-day	1	Archer-1	10	12	1	0	direct	Measured
23	Ekans	Route 3	wild-night	1	Archer-1	10	12	1	0	direct	Measured
25	Pikachu	Viridian Forest	wild-day	0	Brock	4	6	2	0	direct	Measured
25	Pikachu	Viridian Forest	wild-night	0	Brock	4	6	2	0	direct	Measured
27	Sandshrew	Diglett's Cave 1F	wild-day	0	Brock	7	9	4	0	direct	Measured
27	Sandshrew	Diglett's Cave 1F	wild-night	0	Brock	7	9	4	0	direct	Measured
28	Sandslash	Rock Tunnel B1F	wild-day	3	Surge	30	32	0	0	via-evolution	Measured
29	Nidoran-F	Route 3	wild-night	1	Archer-1	10	12	3	1	direct	Measured
32	Nidoran-M	Route 3	raid1	1	Archer-1	NA	NA	NA	1	direct	Measured
32	Nidoran-M	Route 3	wild-day	1	Archer-1	10	12	3	1	direct	Measured
35	Clefairy	Mt. Moon 1F	wild-day	1	Archer-1	12	14	9	1	direct	Measured
35	Clefairy	Mt. Moon 1F	wild-night	1	Archer-1	12	14	9	1	direct	Measured
36	Clefable	Two Island House	fixed-gift	17	Post-Game	NA	NA	NA	1	via-evolution	Measured
37	Vulpix	Route 5	wild-day	2	Misty	18	20	6	2	direct	Measured
38	Ninetales	Pokemon Mansion 1F	wild-night	11	Blaine	63	65	6	2	via-evolution	Measured
38	Ninetales	Pokemon Mansion 1F	wild-night	11	Blaine	63	65	7	2	via-evolution	Measured
38	Ninetales	Pokemon Mansion 2F	wild-night	11	Blaine	63	65	6	2	via-evolution	Measured
38	Ninetales	Pokemon Mansion 2F	wild-night	11	Blaine	63	65	7	2	via-evolution	Measured
38	Ninetales	Pokemon Mansion B1F	wild-night	11	Blaine	63	65	6	2	via-evolution	Measured
38	Ninetales	Pokemon Mansion B1F	wild-night	11	Blaine	63	65	7	2	via-evolution	Measured
38	Ninetales	Mt Ember Interior	wild-day	17	Post-Game	84	85	2	2	via-evolution	Measured
38	Ninetales	Mt Ember Interior	wild-day	17	Post-Game	84	85	3	2	via-evolution	Measured
38	Ninetales	Mt Ember Interior	wild-night	17	Post-Game	84	85	2	2	via-evolution	Measured
38	Ninetales	Mt Ember Interior	wild-night	17	Post-Game	84	85	3	2	via-evolution	Measured
39	Jigglypuff	Route 3	wild-day	1	Archer-1	10	12	10	1	direct	Measured
39	Jigglypuff	Route 3	wild-night	1	Archer-1	10	12	10	1	direct	Measured
41	Zubat	Mt. Moon 1F	wild-day	1	Archer-1	12	14	1	1	direct	Measured
41	Zubat	Mt. Moon B2F	wild-day	1	Archer-1	12	14	1	1	direct	Measured
41	Zubat	Mt. Moon 1F	wild-night	1	Archer-1	12	14	1	1	direct	Measured
41	Zubat	Mt. Moon B2F	wild-night	1	Archer-1	12	14	1	1	direct	Measured
42	Golbat	Seafoam Islands B1F	wild-day	10	May	62	64	6	1	via-evolution	Measured
42	Golbat	Seafoam Islands B1F	wild-day	10	May	62	64	7	1	via-evolution	Measured
42	Golbat	Seafoam Islands B2F	wild-day	10	May	62	64	6	1	via-evolution	Measured
42	Golbat	Seafoam Islands B2F	wild-day	10	May	62	64	7	1	via-evolution	Measured
42	Golbat	Seafoam Islands B3F	wild-day	10	May	62	64	6	1	via-evolution	Measured
42	Golbat	Seafoam Islands B3F	wild-day	10	May	62	64	7	1	via-evolution	Measured
42	Golbat	Seafoam Islands B4F	wild-day	10	May	62	64	6	1	via-evolution	Measured
42	Golbat	Seafoam Islands B4F	wild-day	10	May	62	64	7	1	via-evolution	Measured
42	Golbat	Seafoam Islands B1F	wild-night	10	May	62	64	6	1	via-evolution	Measured
42	Golbat	Seafoam Islands B1F	wild-night	10	May	62	64	7	1	via-evolution	Measured
42	Golbat	Seafoam Islands B2F	wild-night	10	May	62	64	6	1	via-evolution	Measured
42	Golbat	Seafoam Islands B2F	wild-night	10	May	62	64	7	1	via-evolution	Measured
42	Golbat	Seafoam Islands B3F	wild-night	10	May	62	64	6	1	via-evolution	Measured
42	Golbat	Seafoam Islands B3F	wild-night	10	May	62	64	7	1	via-evolution	Measured
42	Golbat	Seafoam Islands B4F	wild-night	10	May	62	64	6	1	via-evolution	Measured
42	Golbat	Seafoam Islands B4F	wild-night	10	May	62	64	7	1	via-evolution	Measured
42	Golbat	Cerulean Cave 1F	wild-day	12	Archer-3	68	70	1	1	via-evolution	Measured
42	Golbat	Cerulean Cave 1F	wild-night	12	Archer-3	68	70	1	1	via-evolution	Measured
42	Golbat	Route 23	wild-day	15	Brendan	33	35	8	1	via-evolution	Measured
42	Golbat	Route 23	wild-day	15	Brendan	33	35	9	1	via-evolution	Measured
42	Golbat	Route 23	wild-night	15	Brendan	33	35	8	1	via-evolution	Measured
42	Golbat	Route 23	wild-night	15	Brendan	33	35	9	1	via-evolution	Measured
43	Oddish	Route 22	wild-day	0	Brock	3	5	6	0	direct	Measured
43	Oddish	Route 4	wild-night	1	Archer-1	13	15	1	0	direct	Measured
46	Paras	Route 22	wild-night	0	Brock	3	5	8	0	direct	Measured
46	Paras	Mt. Moon B1F	wild-day	1	Archer-1	12	14	0	0	direct	Measured
46	Paras	Mt. Moon B1F	wild-night	1	Archer-1	12	14	0	0	direct	Measured
47	Parasect	Route 18	wild-day	9	Koga	49	51	5	0	via-evolution	Measured
47	Parasect	Cerulean Cave 1F	wild-day	12	Archer-3	68	70	0	0	via-evolution	Measured
47	Parasect	Cerulean Cave 1F	wild-night	12	Archer-3	68	70	0	0	via-evolution	Measured
48	Venonat	Route 25	wild-night	2	Misty	16	18	2	2	direct	Measured
50	Diglett	Diglett's Cave 1F	wild-day	0	Brock	7	9	0	0	direct	Measured
50	Diglett	Diglett's Cave B1F	wild-day	2	Misty	23	25	0	0	direct	Measured
50	Diglett	Diglett's Cave B1F	wild-day	2	Misty	23	25	1	0	direct	Measured
51	Dugtrio	Diglett's Cave B1F	wild-day	2	Misty	23	25	9	0	via-evolution	Measured
52	Meowth	Route 1	wild-day	0	Brock	2	4	4	0	direct	Measured
52	Meowth	Route 5	wild-day	2	Misty	18	20	0	0	direct	Measured
54	Psyduck	Route 22	wild-oldRod	0	Brock	2	4	0	0	direct	Measured
54	Psyduck	Route 25	raid1	2	Misty	NA	NA	NA	0	direct	Measured
54	Psyduck	Celadon City	wild-superRod	9	Koga	53	55	0	0	direct	Measured
54	Psyduck	Route 25	wild-superRod	9	Koga	53	55	3	0	direct	Measured
54	Psyduck	Route 25	wild-superRod	9	Koga	53	55	4	0	direct	Measured
54	Psyduck	Route 6	wild-superRod	9	Koga	53	55	3	0	direct	Measured
54	Psyduck	Route 22	wild-surf	10	May	56	58	0	0	direct	Measured
54	Psyduck	Route 22	wild-surf	10	May	56	58	1	0	direct	Measured
54	Psyduck	Route 25	wild-surf	10	May	56	58	0	0	direct	Measured
54	Psyduck	Route 25	wild-surf	10	May	56	58	1	0	direct	Measured
54	Psyduck	Route 25	wild-surf	10	May	56	58	2	0	direct	Measured
54	Psyduck	Route 25	wild-surf	10	May	56	58	3	0	direct	Measured
54	Psyduck	Route 25	wild-surf	10	May	56	58	4	0	direct	Measured
54	Psyduck	Route 6	wild-surf	10	May	56	58	0	0	direct	Measured
54	Psyduck	Route 6	wild-surf	10	May	56	58	1	0	direct	Measured
54	Psyduck	Route 6	wild-surf	10	May	56	58	2	0	direct	Measured
54	Psyduck	Route 6	wild-surf	10	May	56	58	3	0	direct	Measured
54	Psyduck	Route 6	wild-surf	10	May	56	58	4	0	direct	Measured
54	Psyduck	Route 23	wild-superRod	15	Brendan	53	55	1	0	direct	Measured
54	Psyduck	Route 23	wild-surf	15	Brendan	56	58	0	0	direct	Measured
54	Psyduck	Route 23	wild-surf	15	Brendan	56	58	1	0	direct	Measured
54	Psyduck	Route 23	wild-surf	15	Brendan	56	58	2	0	direct	Measured
54	Psyduck	Route 23	wild-surf	15	Brendan	56	58	3	0	direct	Measured
54	Psyduck	Route 23	wild-surf	15	Brendan	56	58	4	0	direct	Measured
55	Golduck	Route 6	wild-superRod	9	Koga	53	55	4	0	via-evolution	Measured
55	Golduck	Seafoam Islands B2F	wild-night	10	May	62	64	4	0	via-evolution	Measured
55	Golduck	Seafoam Islands B2F	wild-night	10	May	62	64	5	0	via-evolution	Measured
55	Golduck	Seafoam Islands B4F	wild-night	10	May	62	64	4	0	via-evolution	Measured
55	Golduck	Seafoam Islands B4F	wild-night	10	May	62	64	5	0	via-evolution	Measured
55	Golduck	Cerulean City	wild-surf	10	May	56	58	0	0	via-evolution	Measured
55	Golduck	Cerulean City	wild-surf	10	May	56	58	1	0	via-evolution	Measured
55	Golduck	Cerulean City	wild-surf	10	May	56	58	2	0	via-evolution	Measured
55	Golduck	Route 24	wild-surf	10	May	56	58	0	0	via-evolution	Measured
55	Golduck	Route 24	wild-surf	10	May	56	58	1	0	via-evolution	Measured
55	Golduck	Route 24	wild-surf	10	May	56	58	2	0	via-evolution	Measured
55	Golduck	Route 24	wild-surf	10	May	56	58	3	0	via-evolution	Measured
55	Golduck	Route 24	wild-surf	10	May	56	58	4	0	via-evolution	Measured
55	Golduck	Safari Zone Area 1	wild-surf	10	May	56	58	1	0	via-evolution	Measured
55	Golduck	Safari Zone Area 1	wild-surf	10	May	56	58	3	0	via-evolution	Measured
55	Golduck	Safari Zone Area 1	wild-surf	10	May	56	58	4	0	via-evolution	Measured
55	Golduck	Safari Zone Area 4	wild-surf	10	May	56	58	3	0	via-evolution	Measured
55	Golduck	Safari Zone Moltres' Den	wild-surf	10	May	56	58	3	0	via-evolution	Measured
55	Golduck	Seafoam Islands B4F	wild-surf	10	May	56	58	0	0	via-evolution	Measured
55	Golduck	Cerulean Cave 1F	wild-surf	12	Archer-3	56	58	1	0	via-evolution	Measured
56	Mankey	Route 22	wild-day	0	Brock	3	5	2	0	direct	Measured
56	Mankey	Route 22	wild-night	0	Brock	3	5	2	0	direct	Measured
57	Primeape	Cerulean Cave 2F	wild-day	12	Archer-3	68	70	2	0	via-evolution	Measured
57	Primeape	Cerulean Cave 2F	wild-day	12	Archer-3	68	70	3	0	via-evolution	Measured
57	Primeape	Route 23	wild-day	15	Brendan	33	35	0	0	via-evolution	Measured
57	Primeape	Route 23	wild-night	15	Brendan	33	35	0	0	via-evolution	Measured
58	Growlithe	Route 5	wild-day	2	Misty	18	20	3	2	direct	Measured
59	Arcanine	Route 13	wild-night	9	Koga	48	50	2	2	via-evolution	Measured
59	Arcanine	Pokemon Mansion 1F	wild-day	11	Blaine	63	65	6	2	via-evolution	Measured
59	Arcanine	Pokemon Mansion 1F	wild-day	11	Blaine	63	65	7	2	via-evolution	Measured
59	Arcanine	Pokemon Mansion B1F	wild-day	11	Blaine	63	65	6	2	via-evolution	Measured
59	Arcanine	Pokemon Mansion B1F	wild-day	11	Blaine	63	65	7	2	via-evolution	Measured
59	Arcanine	Mt Ember Exterior	wild-day	17	Post-Game	83	85	6	2	via-evolution	Measured
59	Arcanine	Mt Ember Exterior	wild-day	17	Post-Game	83	85	7	2	via-evolution	Measured
60	Poliwag	Celadon City	wild-goodRod	3	Surge	27	29	0	3	direct	Measured
60	Poliwag	Safari Zone Area 3	wild-oldRod	9	Koga	2	4	1	3	direct	Measured
60	Poliwag	Route 25	wild-superRod	9	Koga	53	55	0	3	direct	Measured
60	Poliwag	Route 23	wild-goodRod	15	Brendan	27	29	0	3	direct	Measured
60	Poliwag	Route 23	wild-superRod	15	Brendan	53	55	0	3	direct	Measured
61	Poliwhirl	Route 25	wild-superRod	9	Koga	53	55	1	3	via-evolution	Measured
61	Poliwhirl	Celadon City	wild-surf	10	May	56	58	0	3	via-evolution	Measured
61	Poliwhirl	Celadon City	wild-surf	10	May	56	58	1	3	via-evolution	Measured
61	Poliwhirl	Celadon City	wild-surf	10	May	56	58	2	3	via-evolution	Measured
61	Poliwhirl	Celadon City	wild-surf	10	May	56	58	3	3	via-evolution	Measured
61	Poliwhirl	Celadon City	wild-surf	10	May	56	58	4	3	via-evolution	Measured
61	Poliwhirl	Route 22	wild-surf	10	May	56	58	3	3	via-evolution	Measured
61	Poliwhirl	Route 22	wild-surf	10	May	56	58	4	3	via-evolution	Measured
61	Poliwhirl	Cerulean Cave 1F	wild-superRod	12	Archer-3	53	55	1	3	via-evolution	Measured
61	Poliwhirl	Route 23	wild-superRod	15	Brendan	53	55	2	3	via-evolution	Measured
62	Poliwrath	Route 18	wild-day	9	Koga	49	51	2	3	via-evolution	Measured
62	Poliwrath	Cerulean Cave B1F	wild-superRod	13	Giovanni-3	53	55	0	3	via-evolution	Measured
63	Abra	Route 2	wild-day	0	Brock	3	5	9	0	direct	Measured
63	Abra	Route 2	wild-night	0	Brock	3	5	9	0	direct	Measured
63	Abra	Route 24	raid1	2	Misty	NA	NA	NA	0	direct	Measured
63	Abra	Route 24	wild-day	2	Misty	14	16	9	0	direct	Measured
63	Abra	Route 24	wild-night	2	Misty	14	16	9	0	direct	Measured
65	Alakazam	Cerulean Cave 2F	wild-day	12	Archer-3	68	70	6	0	via-evolution	Measured
65	Alakazam	Cerulean Cave 2F	wild-day	12	Archer-3	68	70	7	0	via-evolution	Measured
66	Machop	Diglett's Cave 1F	wild-day	0	Brock	7	9	9	0	direct	Measured
66	Machop	Mt. Moon 1F	wild-night	1	Archer-1	12	14	3	0	direct	Measured
68	Machamp	Cerulean Cave 1F	wild-day	12	Archer-3	68	70	2	0	via-evolution	Measured
68	Machamp	Cerulean Cave 1F	wild-day	12	Archer-3	68	70	3	0	via-evolution	Measured
68	Machamp	Victory Road 2F	wild-day	16	Elite-4	80	82	3	0	via-evolution	Measured
68	Machamp	Victory Road 2F	wild-night	16	Elite-4	80	82	3	0	via-evolution	Measured
69	Bellsprout	Route 22	wild-day	0	Brock	3	5	8	0	direct	Measured
69	Bellsprout	Route 4	wild-day	1	Archer-1	13	15	1	0	direct	Measured
72	Tentacool	Pallet Town	wild-oldRod	0	Brock	2	4	0	0	direct	Measured
72	Tentacool	Pallet Town	wild-surf	10	May	56	58	0	0	direct	Measured
72	Tentacool	Pallet Town	wild-surf	10	May	56	58	1	0	direct	Measured
72	Tentacool	Route 10	wild-surf	10	May	56	58	0	0	direct	Measured
72	Tentacool	Route 10	wild-surf	10	May	56	58	1	0	direct	Measured
72	Tentacool	Route 10	wild-surf	10	May	56	58	2	0	direct	Measured
72	Tentacool	Route 12	wild-surf	10	May	56	58	0	0	direct	Measured
72	Tentacool	Route 12	wild-surf	10	May	56	58	1	0	direct	Measured
72	Tentacool	Route 13	wild-surf	10	May	56	58	0	0	direct	Measured
72	Tentacool	Route 13	wild-surf	10	May	56	58	1	0	direct	Measured
72	Tentacool	Vermilion City	wild-surf	10	May	56	58	0	0	direct	Measured
73	Tentacruel	Cinnabar Island	wild-surf	10	May	56	58	0	0	via-evolution	Measured
73	Tentacruel	Pallet Town	wild-surf	10	May	56	58	2	0	via-evolution	Measured
73	Tentacruel	Pallet Town	wild-surf	10	May	56	58	3	0	via-evolution	Measured
73	Tentacruel	Pallet Town	wild-surf	10	May	56	58	4	0	via-evolution	Measured
73	Tentacruel	Route 12	wild-surf	10	May	56	58	2	0	via-evolution	Measured
73	Tentacruel	Route 20	wild-surf	10	May	56	58	0	0	via-evolution	Measured
73	Tentacruel	Route 21 North	wild-surf	10	May	56	58	0	0	via-evolution	Measured
73	Tentacruel	Route 21 South	wild-surf	10	May	56	58	0	0	via-evolution	Measured
73	Tentacruel	Berry Forest	wild-surf	17	Post-Game	56	58	4	0	via-evolution	Measured
74	Geodude	Diglett's Cave 1F	wild-day	0	Brock	7	9	5	0	direct	Measured
74	Geodude	Mt. Moon 1F	wild-day	1	Archer-1	12	14	0	0	direct	Measured
75	Graveler	Rock Tunnel 1F	wild-day	3	Surge	29	31	0	0	via-evolution	Measured
76	Golem	Rock Tunnel Magearna's Chamber	wild-smash	17	Post-Game	85	85	0	0	via-evolution	Measured
77	Ponyta	Route 2	wild-day	0	Brock	3	5	2	0	direct	Measured
78	Rapidash	Pokemon Mansion 3F	wild-day	11	Blaine	63	65	4	0	via-evolution	Measured
79	Slowpoke	Celadon City	wild-goodRod	3	Surge	27	29	2	3	direct	Measured
79	Slowpoke	Route 19	wild-goodRod	9	Koga	27	29	1	3	direct	Measured
79	Slowpoke	Route 19	wild-goodRod	9	Koga	27	29	2	3	direct	Measured
79	Slowpoke	Route 22	wild-surf	10	May	56	58	2	3	direct	Measured
80	Slowbro	Seafoam Islands B1F	wild-day	10	May	62	64	4	3	via-evolution	Measured
80	Slowbro	Seafoam Islands B1F	wild-day	10	May	62	64	5	3	via-evolution	Measured
80	Slowbro	Seafoam Islands B4F	wild-surf	10	May	56	58	1	3	via-evolution	Measured
80	Slowbro	Cerulean Cave B1F	wild-surf	13	Giovanni-3	56	58	1	3	via-evolution	Measured
80	Slowbro	Cape Brink	wild-night	17	Post-Game	83	85	5	3	via-evolution	Measured
80	Slowbro	Cape Brink	wild-night	17	Post-Game	84	85	4	3	via-evolution	Measured
80	Slowbro	Cape Brink	wild-surf	17	Post-Game	83	85	1	3	via-evolution	Measured
81	Magnemite	Mt. Moon 1F	raid1	1	Archer-1	NA	NA	NA	1	direct	Measured
81	Magnemite	Route 10	wild-day	3	Surge	27	29	8	1	direct	Measured
