area	region	earliest_gate	gate_name	encounters	items	basis	confidence
Diglett's Cave 1F	Kanto	0	Brock	24	1	numeric key on the area entry, read as an index into caps	Measured
Pallet Town	Kanto	0	Brock	15	0	numeric key on the area entry, read as an index into caps	Measured
Pallet Town Oak's Lab	Kanto	0	Brock	27	2	numeric key on the area entry, read as an index into caps	Measured
Pallet Town Player's House 1F	Kanto	0	Brock	0	6	numeric key on the area entry, read as an index into caps	Measured
Pallet Town Rival's House	Kanto	0	Brock	0	1	numeric key on the area entry, read as an index into caps	Measured
Pewter City	Kanto	0	Brock	24	8	numeric key on the area entry, read as an index into caps	Measured
Pewter City Museum 1F	Kanto	0	Brock	0	2	numeric key on the area entry, read as an index into caps	Measured
Pewter City Museum 2F	Kanto	0	Brock	0	1	numeric key on the area entry, read as an index into caps	Measured
Pewter City Poke Mart	Kanto	0	Brock	0	19	numeric key on the area entry, read as an index into caps	Measured
Route 1	Kanto	0	Brock	24	1	numeric key on the area entry, read as an index into caps	Measured
Route 2	Kanto	0	Brock	32	43	numeric key on the area entry, read as an index into caps	Measured
Route 21 North	Kanto	0	Brock	39	2	numeric key on the area entry, read as an index into caps	Measured
Route 22	Kanto	0	Brock	39	1	numeric key on the area entry, read as an index into caps	Measured
Viridian City	Kanto	0	Brock	49	6	numeric key on the area entry, read as an index into caps	Measured
Viridian City Poke Center	Kanto	0	Brock	0	6	numeric key on the area entry, read as an index into caps	Measured
Viridian City Poke Mart	Kanto	0	Brock	0	20	numeric key on the area entry, read as an index into caps	Measured
Viridian City Trainer School	Kanto	0	Brock	0	1	numeric key on the area entry, read as an index into caps	Measured
Viridian Forest	Kanto	0	Brock	24	15	numeric key on the area entry, read as an index into caps	Measured
Viridian Forest Heart	Kanto	0	Brock	32	5	numeric key on the area entry, read as an index into caps	Measured
Mt. Moon 1F	Kanto	1	Archer-1	33	7	numeric key on the area entry, read as an index into caps	Measured
Mt. Moon B1F	Kanto	1	Archer-1	24	2	numeric key on the area entry, read as an index into caps	Measured
Mt. Moon B2F	Kanto	1	Archer-1	25	10	numeric key on the area entry, read as an index into caps	Measured
Pewter City Gym	Kanto	1	Archer-1	0	3	numeric key on the area entry, read as an index into caps	Measured
