entity_type	entity_name	internal_id	location	region	acquisition_method	cost	currency	quantity	prerequisites	earliest_gate	earliest_gate_name	mode_availability	encounter_rate	level_min	level_max	slot_index	star_tier	tm_number	resolved_move	raid_drops	missable	missable_reason	source_record	confidence	notes
item_care_package	Choice Band	186	Pallet Town Player's House 1F	Kanto	item-cheat	NA	NA	10	NA	17	Post-Game	UNK	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	single placement	data.js:areas[Pallet Town Player's House 1F].item-cheat[17]	Asserted	care-package item, delivered by code not exploration quantity from the official item sheet
item_care_package	Choice Scarf	695	Pallet Town Player's House 1F	Kanto	item-cheat	NA	NA	10	NA	17	Post-Game	UNK	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	single placement	data.js:areas[Pallet Town Player's House 1F].item-cheat[17]	Asserted	care-package item, delivered by code not exploration quantity from the official item sheet
item_care_package	Choice Specs	696	Pallet Town Player's House 1F	Kanto	item-cheat	NA	NA	10	NA	17	Post-Game	UNK	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	single placement	data.js:areas[Pallet Town Player's House 1F].item-cheat[17]	Asserted	care-package item, delivered by code not exploration quantity from the official item sheet
item_care_package	Eviolite	700	Pallet Town Player's House 1F	Kanto	item-cheat	NA	NA	10	NA	17	Post-Game	UNK	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	single placement	data.js:areas[Pallet Town Player's House 1F].item-cheat[17]	Asserted	care-package item, delivered by code not exploration quantity from the official item sheet
item_care_package	Rocky Helmet	702	Pallet Town Player's House 1F	Kanto	item-cheat	NA	NA	10	NA	17	Post-Game	UNK	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	single placement	data.js:areas[Pallet Town Player's House 1F].item-cheat[17]	Asserted	care-package item, delivered by code not exploration quantity from the official item sheet
tutor	tutor_slot_21	21	Pallet Town Player's House 1F	Kanto	tutor	UNK	money	REPEATABLE	NA	0	Brock	UNK	NA	NA	NA	NA	NA	NA	Celebrate	NA	FALSE	NA	data.js:areas[Pallet Town Player's House 1F].tutors[0]	Measured	value is a tutorMoves slot index, not a move ID
wild_encounter	Tentacool	72	Pallet Town	Kanto	wild-surf	NA	NA	REPEATABLE	NA	10	May	UNK	60	56	58	0	NA	NA	NA	NA	FALSE	NA	data.js:areas[Pallet Town].wild-surf[10]	Measured	rate Asserted from the locations sheet
wild_encounter	Tentacool	72	Pallet Town	Kanto	wild-surf	NA	NA	REPEATABLE	NA	10	May	UNK	30	56	58	1	NA	NA	NA	NA	FALSE	NA	data.js:areas[Pallet Town].wild-surf[10]	Measured	rate Asserted from the locations sheet
wild_encounter	Tentacruel	73	Pallet Town	Kanto	wild-surf	NA	NA	REPEATABLE	NA	10	May	UNK	5	56	58	2	NA	NA	NA	NA	FALSE	NA	data.js:areas[Pallet Town].wild-surf[10]	Measured	rate Asserted from the locations sheet
wild_encounter	Tentacruel	73	Pallet Town	Kanto	wild-surf	NA	NA	REPEATABLE	NA	10	May	UNK	4	56	58	3	NA	NA	NA	NA	FALSE	NA	data.js:areas[Pallet Town].wild-surf[10]	Measured	rate Asserted from the locations sheet
wild_encounter	Tentacruel	73	Pallet Town	Kanto	wild-surf	NA	NA	REPEATABLE	NA	10	May	UNK	1	56	58	4	NA	NA	NA	NA	FALSE	NA	data.js:areas[Pallet Town].wild-surf[10]	Measured	rate Asserted from the locations sheet
wild_encounter	Tentacool	72	Pallet Town	Kanto	wild-oldRod	NA	NA	REPEATABLE	NA	0	Brock	UNK	70	2	4	0	NA	NA	NA	NA	FALSE	NA	data.js:areas[Pallet Town].wild-oldRod[0]	Measured	rate Asserted from the locations sheet
wild_encounter	Binacle	796	Pallet Town	Kanto	wild-oldRod	NA	NA	REPEATABLE	NA	0	Brock	UNK	30	2	4	1	NA	NA	NA	NA	FALSE	NA	data.js:areas[Pallet Town].wild-oldRod[0]	Measured	rate Asserted from the locations sheet
wild_encounter	Barboach	323	Pallet Town	Kanto	wild-goodRod	NA	NA	REPEATABLE	NA	3	Surge	UNK	60	27	29	0	NA	NA	NA	NA	FALSE	NA	data.js:areas[Pallet Town].wild-goodRod[3]	Measured	rate Asserted from the locations sheet
wild_encounter	Carvanha	330	Pallet Town	Kanto	wild-goodRod	NA	NA	REPEATABLE	NA	3	Surge	UNK	20	27	29	1	NA	NA	NA	NA	FALSE	NA	data.js:areas[Pallet Town].wild-goodRod[3]	Measured	rate Asserted from the locations sheet
wild_encounter	Qwilfish	211	Pallet Town	Kanto	wild-goodRod	NA	NA	REPEATABLE	NA	3	Surge	UNK	20	27	29	2	NA	NA	NA	NA	FALSE	NA	data.js:areas[Pallet Town].wild-goodRod[3]	Measured	rate Asserted from the locations sheet
wild_encounter	Luvdisc	325	Pallet Town	Kanto	wild-superRod	NA	NA	REPEATABLE	NA	9	Koga	UNK	40	53	55	0	NA	NA	NA	NA	FALSE	NA	data.js:areas[Pallet Town].wild-superRod[9]	Measured	rate Asserted from the locations sheet
wild_encounter	Luvdisc	325	Pallet Town	Kanto	wild-superRod	NA	NA	REPEATABLE	NA	9	Koga	UNK	40	53	55	1	NA	NA	NA	NA	FALSE	NA	data.js:areas[Pallet Town].wild-superRod[9]	Measured	rate Asserted from the locations sheet
wild_encounter	Clamperl	373	Pallet Town	Kanto	wild-superRod	NA	NA	REPEATABLE	NA	9	Koga	UNK	15	53	55	2	NA	NA	NA	NA	FALSE	NA	data.js:areas[Pallet Town].wild-superRod[9]	Measured	rate Asserted from the locations sheet
wild_encounter	Whiscash	324	Pallet Town	Kanto	wild-superRod	NA	NA	REPEATABLE	NA	9	Koga	UNK	4	53	55	3	NA	NA	NA	NA	FALSE	NA	data.js:areas[Pallet Town].wild-superRod[9]	Measured	rate Asserted from the locations sheet
wild_encounter	Whiscash	324	Pallet Town	Kanto	wild-superRod	NA	NA	REPEATABLE	NA	9	Koga	UNK	1	53	55	4	NA	NA	NA	NA	FALSE	NA	data.js:areas[Pallet Town].wild-superRod[9]	Measured	rate Asserted from the locations sheet
item_ground	Town Map	361	Pallet Town Rival's House	Kanto	item-standard	NA	NA	1	NA	0	Brock	UNK	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	single placement	data.js:areas[Pallet Town Rival's House].item-standard[0]	Measured	NONE
gift_pokemon	Bulbasaur	1	Pallet Town Oak's Lab	Kanto	fixed-gift	NA	NA	1	NA	0	Brock	UNK	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	one-time placement	data.js:areas[Pallet Town Oak's Lab].fixed-gift[0]	Measured	NONE
gift_pokemon	Charmander	4	Pallet Town Oak's Lab	Kanto	fixed-gift	NA	NA	1	NA	0	Brock	UNK	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	one-time placement	data.js:areas[Pallet Town Oak's Lab].fixed-gift[0]	Measured	NONE
gift_pokemon	Squirtle	7	Pallet Town Oak's Lab	Kanto	fixed-gift	NA	NA	1	NA	0	Brock	UNK	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	one-time placement	data.js:areas[Pallet Town Oak's Lab].fixed-gift[0]	Measured	NONE
gift_pokemon	Chikorita	152	Pallet Town Oak's Lab	Kanto	fixed-gift	NA	NA	1	NA	0	Brock	UNK	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	one-time placement	data.js:areas[Pallet Town Oak's Lab].fixed-gift[0]	Measured	NONE
gift_pokemon	Cyndaquil	155	Pallet Town Oak's Lab	Kanto	fixed-gift	NA	NA	1	NA	0	Brock	UNK	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	one-time placement	data.js:areas[Pallet Town Oak's Lab].fixed-gift[0]	Measured	NONE
gift_pokemon	Totodile	158	Pallet Town Oak's Lab	Kanto	fixed-gift	NA	NA	1	NA	0	Brock	UNK	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	one-time placement	data.js:areas[Pallet Town Oak's Lab].fixed-gift[0]	Measured	NONE
gift_pokemon	Treecko	277	Pallet Town Oak's Lab	Kanto	fixed-gift	NA	NA	1	NA	0	Brock	UNK	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	one-time placement	data.js:areas[Pallet Town Oak's Lab].fixed-gift[0]	Measured	NONE
gift_pokemon	Torchic	280	Pallet Town Oak's Lab	Kanto	fixed-gift	NA	NA	1	NA	0	Brock	UNK	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	one-time placement	data.js:areas[Pallet Town Oak's Lab].fixed-gift[0]	Measured	NONE
gift_pokemon	Mudkip	283	Pallet Town Oak's Lab	Kanto	fixed-gift	NA	NA	1	NA	0	Brock	UNK	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	one-time placement	data.js:areas[Pallet Town Oak's Lab].fixed-gift[0]	Measured	NONE
gift_pokemon	Turtwig	440	Pallet Town Oak's Lab	Kanto	fixed-gift	NA	NA	1	NA	0	Brock	UNK	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	one-time placement	data.js:areas[Pallet Town Oak's Lab].fixed-gift[0]	Measured	NONE
gift_pokemon	Chimchar	443	Pallet Town Oak's Lab	Kanto	fixed-gift	NA	NA	1	NA	0	Brock	UNK	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	one-time placement	data.js:areas[Pallet Town Oak's Lab].fixed-gift[0]	Measured	NONE
gift_pokemon	Piplup	446	Pallet Town Oak's Lab	Kanto	fixed-gift	NA	NA	1	NA	0	Brock	UNK	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	one-time placement	data.js:areas[Pallet Town Oak's Lab].fixed-gift[0]	Measured	NONE
gift_pokemon	Snivy	548	Pallet Town Oak's Lab	Kanto	fixed-gift	NA	NA	1	NA	0	Brock	UNK	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	one-time placement	data.js:areas[Pallet Town Oak's Lab].fixed-gift[0]	Measured	NONE
gift_pokemon	Tepig	551	Pallet Town Oak's Lab	Kanto	fixed-gift	NA	NA	1	NA	0	Brock	UNK	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	one-time placement	data.js:areas[Pallet Town Oak's Lab].fixed-gift[0]	Measured	NONE
gift_pokemon	Oshawott	554	Pallet Town Oak's Lab	Kanto	fixed-gift	NA	NA	1	NA	0	Brock	UNK	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	one-time placement	data.js:areas[Pallet Town Oak's Lab].fixed-gift[0]	Measured	NONE
gift_pokemon	Chespin	758	Pallet Town Oak's Lab	Kanto	fixed-gift	NA	NA	1	NA	0	Brock	UNK	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	one-time placement	data.js:areas[Pallet Town Oak's Lab].fixed-gift[0]	Measured	NONE
gift_pokemon	Fennekin	761	Pallet Town Oak's Lab	Kanto	fixed-gift	NA	NA	1	NA	0	Brock	UNK	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	one-time placement	data.js:areas[Pallet Town Oak's Lab].fixed-gift[0]	Measured	NONE
gift_pokemon	Froakie	764	Pallet Town Oak's Lab	Kanto	fixed-gift	NA	NA	1	NA	0	Brock	UNK	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	one-time placement	data.js:areas[Pallet Town Oak's Lab].fixed-gift[0]	Measured	NONE
gift_pokemon	Sprigatito	921	Pallet Town Oak's Lab	Kanto	fixed-gift	NA	NA	1	NA	0	Brock	UNK	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	one-time placement	data.js:areas[Pallet Town Oak's Lab].fixed-gift[0]	Measured	NONE
gift_pokemon	Fuecoco	924	Pallet Town Oak's Lab	Kanto	fixed-gift	NA	NA	1	NA	0	Brock	UNK	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	one-time placement	data.js:areas[Pallet Town Oak's Lab].fixed-gift[0]	Measured	NONE
gift_pokemon	Quaxly	927	Pallet Town Oak's Lab	Kanto	fixed-gift	NA	NA	1	NA	0	Brock	UNK	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	one-time placement	data.js:areas[Pallet Town Oak's Lab].fixed-gift[0]	Measured	NONE
gift_pokemon	Rowlet	939	Pallet Town Oak's Lab	Kanto	fixed-gift	NA	NA	1	NA	0	Brock	UNK	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	one-time placement	data.js:areas[Pallet Town Oak's Lab].fixed-gift[0]	Measured	NONE
gift_pokemon	Litten	942	Pallet Town Oak's Lab	Kanto	fixed-gift	NA	NA	1	NA	0	Brock	UNK	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	one-time placement	data.js:areas[Pallet Town Oak's Lab].fixed-gift[0]	Measured	NONE
gift_pokemon	Popplio	945	Pallet Town Oak's Lab	Kanto	fixed-gift	NA	NA	1	NA	0	Brock	UNK	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	one-time placement	data.js:areas[Pallet Town Oak's Lab].fixed-gift[0]	Measured	NONE
gift_pokemon	Grookey	1102	Pallet Town Oak's Lab	Kanto	fixed-gift	NA	NA	1	NA	0	Brock	UNK	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	one-time placement	data.js:areas[Pallet Town Oak's Lab].fixed-gift[0]	Measured	NONE
gift_pokemon	Scorbunny	1105	Pallet Town Oak's Lab	Kanto	fixed-gift	NA	NA	1	NA	0	Brock	UNK	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	one-time placement	data.js:areas[Pallet Town Oak's Lab].fixed-gift[0]	Measured	NONE
gift_pokemon	Sobble	1108	Pallet Town Oak's Lab	Kanto	fixed-gift	NA	NA	1	NA	0	Brock	UNK	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	one-time placement	data.js:areas[Pallet Town Oak's Lab].fixed-gift[0]	Measured	NONE
item_ground	Poke Ball	4	Pallet Town Oak's Lab	Kanto	item-standard	NA	NA	1	NA	0	Brock	UNK	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	single placement	data.js:areas[Pallet Town Oak's Lab].item-standard[0]	Measured	NONE
item_ground	Eevium Z	600	Pallet Town Oak's Lab	Kanto	item-standard	NA	NA	1	NA	17	Post-Game	UNK	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	single placement	data.js:areas[Pallet Town Oak's Lab].item-standard[17]	Measured	NONE
wild_encounter	Bidoof	452	Route 1	Kanto	wild-day	NA	NA	REPEATABLE	NA	0	Brock	UNK	20	2	4	0	NA	NA	NA	NA	FALSE	NA	data.js:areas[Route 1].wild-day[0]	Measured	rate Asserted from the locations sheet
wild_encounter	Zigzagoon	288	Route 1	Kanto	wild-day	NA	NA	REPEATABLE	NA	0	Brock	UNK	20	2	4	1	NA	NA	NA	NA	FALSE	NA	data.js:areas[Route 1].wild-day[0]	Measured	rate Asserted from the locations sheet
wild_encounter	Rattata	19	Route 1	Kanto	wild-day	NA	NA	REPEATABLE	NA	0	Brock	UNK	10	2	4	2	NA	NA	NA	NA	FALSE	NA	data.js:areas[Route 1].wild-day[0]	Measured	rate Asserted from the locations sheet
wild_encounter	Mienfoo	672	Route 1	Kanto	wild-day	NA	NA	REPEATABLE	NA	0	Brock	UNK	10	2	4	3	NA	NA	NA	NA	FALSE	NA	data.js:areas[Route 1].wild-day[0]	Measured	rate Asserted from the locations sheet
wild_encounter	Meowth	52	Route 1	Kanto	wild-day	NA	NA	REPEATABLE	NA	0	Brock	UNK	10	2	4	4	NA	NA	NA	NA	FALSE	NA	data.js:areas[Route 1].wild-day[0]	Measured	rate Asserted from the locations sheet
wild_encounter	Yungoos	951	Route 1	Kanto	wild-day	NA	NA	REPEATABLE	NA	0	Brock	UNK	10	2	4	5	NA	NA	NA	NA	FALSE	NA	data.js:areas[Route 1].wild-day[0]	Measured	rate Asserted from the locations sheet
