trainer_id	name	trainer_class	role	location	mode	cap_index	cap_name	level_cap	is_level_scaled	boss_key	party_size	roster	roster_species	max_level	min_level	offensive_types	mean_base_speed	fastest_member	slowest_member	shared_weaknesses	team_resisted_by	strategy_notes	source_record	confidence	notes
2	Ace Trainer Andrew	NA	boss_candidate	Two Island Game Corner	normal	17	Post-Game	100	TRUE	17|Two Island Game Corner|Ace Trainer Andrew	6	Infernape:100:103:Iron Fist:Focus Sash:Jolly:31/31/31/31/31/31:0/252/4/0/0/252:Pyro Ball,Close Combat,Thunder Punch,Stealth Rock|Sceptile:100:103:Unburden:Sceptilite:Jolly:31/31/31/31/31/31:0/252/4/0/0/252:Swords Dance,Bullet Seed,Scale Shot,Rock Tomb|Torterra:100:103:Rock Head:Yache Berry:Jolly:31/31/31/31/31/31:0/252/4/0/0/252:Shell Smash,Wood Hammer,Headlong Rush,Head Smash|Blaziken:100:103:Speed Boost:Blazikenite:Jolly:31/31/31/31/31/31:0/252/4/0/0/252:Close Combat,Flare Blitz,Knock Off,U-turn|Greninja:100:103:Torrent:Life Orb:Timid:31/31/31/31/31/31:0/0/4/252/0/252:Hydro Cannon,Dark Hole,Ice Beam,U-turn|Inteleon:100:103:Sniper:Scope Lens:Timid:31/30/31/30/31/31:0/0/4/252/0/252:Snipe Shot,Ice Beam,Hidden Power,U-turn	Infernape,Sceptile,Torterra,Blaziken,Greninja,Inteleon	100	100	Normal,Fighting,Ground,Rock,Bug,Fire,Water,Grass,Electric,Ice,Dragon,Dark	101.8	Greninja	Torterra	Flying,Bug	NONE	6 slots, levels 100-100. Offense covers 12 types. Shared weakness: Flying, Bug. Speed spans 56-122 base, fastest Greninja, slowest Torterra. LEVEL-SCALED: rescales to the player, excluded from scoring.	data.js:trainers[2].normal	Measured	derived: team analysis; strategy_notes Inferred
2	Ace Trainer Andrew	NA	boss_candidate	Two Island Game Corner	hardcore	17	Post-Game	100	TRUE	17|Two Island Game Corner|Ace Trainer Andrew	6	Infernape:100:103:Iron Fist:Focus Sash:Jolly:31/31/31/31/31/31:0/0/0/0/0/0:Pyro Ball,Close Combat,Thunder Punch,Stealth Rock|Sceptile:100:103:Unburden:Sceptilite:Jolly:31/31/31/31/31/31:0/0/0/0/0/0:Swords Dance,Bullet Seed,Scale Shot,Rock Tomb|Torterra:100:103:Rock Head:Yache Berry:Jolly:31/31/31/31/31/31:0/0/0/0/0/0:Shell Smash,Wood Hammer,Headlong Rush,Head Smash|Blaziken:100:103:Speed Boost:Blazikenite:Jolly:31/31/31/31/31/31:0/0/0/0/0/0:Close Combat,Flare Blitz,Knock Off,U-turn|Greninja:100:103:Protean:Life Orb:Careful:31/31/31/31/31/31:0/0/0/0/0/0:Hydro Cannon,Dark Hole,Ice Beam,U-turn|Inteleon:100:103:Sniper:Scope Lens:Timid:31/30/31/30/31/31:0/0/0/0/0/0:Snipe Shot,Ice Beam,Hidden Power,U-turn	Infernape,Sceptile,Torterra,Blaziken,Greninja,Inteleon	100	100	Normal,Fighting,Ground,Rock,Bug,Fire,Water,Grass,Electric,Ice,Dragon,Dark	101.8	Greninja	Torterra	Flying,Bug	NONE	6 slots, levels 100-100. Offense covers 12 types. Shared weakness: Flying, Bug. Speed spans 56-122 base, fastest Greninja, slowest Torterra. LEVEL-SCALED: rescales to the player, excluded from scoring.	data.js:trainers[2].hardcore	Measured	derived: team analysis; strategy_notes Inferred
3	PkMn Trainer Red	NA	boss_candidate	Treasure Beach	normal	17	Post-Game	100	TRUE	17|Treasure Beach|PkMn Trainer Red	6	Pikachu-Libre:100:103:UNK:Light Ball:Jolly:31/31/31/31/31/31:252/252/252/252/252/252:Fake Out,Aura Wheel,Close Combat,Knock Off|Venusaur:100:103:Chlorophyll:Venusaurite:Modest:31/31/31/31/31/31:252/0/0/252/4/0:Giga Drain,Sludge Bomb,Earth Power,Sleep Powder|Blastoise:100:103:Rain Dish:Blastoisnite:Modest:31/31/31/31/31/31:4/0/0/252/0/252:Shell Smash,Ice Beam,Dark Pulse,Aura Sphere|Charizard:100:103:Solar Power:Charzardite X:Jolly:31/31/31/31/31/31:0/252/4/0/0/252:Dragon Dance,Flare Blitz,Earthquake,Dragon Claw|Snorlax:100:103:Immunity:Leftovers:Adamant:31/31/31/31/31/31:252/252/4/0/0/0:Body Slam,Earthquake,Darkest Lariat,Fire Punch|Mewtwo:100:103:Unnerve:Mewtwonite X:Jolly:31/31/31/31/31/31:4/252/0/0/0/252:Bulk Up,Zen Headbutt,Close Combat,Stone Edge	Pikachu-Libre,Venusaur,Blastoise,Charizard,Snorlax,Mewtwo	100	100	Normal,Fighting,Poison,Ground,Rock,Fire,Grass,Electric,Psychic,Ice,Dragon,Dark	84.7	Mewtwo	Snorlax	NONE	NONE	6 slots, levels 100-100. Offense covers 12 types. No weakness shared by half the team. Speed spans 30-130 base, fastest Mewtwo, slowest Snorlax. LEVEL-SCALED: rescales to the player, excluded from scoring.	data.js:trainers[3].normal	Measured	derived: team analysis; strategy_notes Inferred
3	PkMn Trainer Red	NA	boss_candidate	Treasure Beach	hardcore	17	Post-Game	100	TRUE	17|Treasure Beach|PkMn Trainer Red	6	Pikachu-Libre:100:103:UNK:Light Ball:Jolly:31/31/31/31/31/31:0/0/0/0/0/0:Fake Out,Aura Wheel,Close Combat,Knock Off|Venusaur:100:103:Chlorophyll:Venusaurite:Modest:31/31/31/31/31/31:0/0/0/0/0/0:Giga Drain,Sludge Bomb,Earth Power,Sleep Powder|Blastoise:100:103:Rain Dish:Blastoisnite:Modest:31/31/31/31/31/31:0/0/0/0/0/0:Shell Smash,Ice Beam,Dark Pulse,Origin Pulse|Charizard:100:103:Solar Power:Charzardite X:Jolly:31/31/31/31/31/31:0/0/0/0/0/0:Dragon Dance,Flare Blitz,Earthquake,Dragon Claw|Snorlax:100:103:Immunity:Leftovers:Adamant:31/31/31/31/31/31:0/0/0/0/0/0:Body Slam,Earthquake,Darkest Lariat,Fire Punch|Mewtwo:100:103:Unnerve:Mewtwonite X:Jolly:31/31/31/31/31/31:0/0/0/0/0/0:Bulk Up,Zen Headbutt,Close Combat,Stone Edge	Pikachu-Libre,Venusaur,Blastoise,Charizard,Snorlax,Mewtwo	100	100	Normal,Fighting,Poison,Ground,Rock,Fire,Water,Grass,Electric,Psychic,Ice,Dragon,Dark	84.7	Mewtwo	Snorlax	NONE	NONE	6 slots, levels 100-100. Offense covers 13 types. No weakness shared by half the team. Speed spans 30-130 base, fastest Mewtwo, slowest Snorlax. LEVEL-SCALED: rescales to the player, excluded from scoring.	data.js:trainers[3].hardcore	Measured	derived: team analysis; strategy_notes Inferred
4	Lass Anne	NA	route	Viridian Forest	normal	0	Brock	15	TRUE	0|Viridian Forest|Lass Anne	3	Stufful:14:102:Cute Charm:Oran Berry:Bashful:31/31/31/31/31/31:0/0/0/0/0/0:Low Sweep,Tackle,Aerial Ace|Clefairy:12:104:Cute Charm:Life Orb:Bashful:31/31/31/31/31/31:0/0/0/0/0/0:Metronome|Audino:14:102:UNK:NONE:Bashful:0/31/0/31/0/31:0/0/0/0/0/0:Swagger,Protect,Wish,Yawn	Stufful,Clefairy,Audino	14	12	Normal,Fighting,Flying	45.0	Stufful	Clefairy	Fighting	NONE	3 slots, levels 12-14. Offense covers 3 types. Shared weakness: Fighting. Speed spans 35-50 base, fastest Stufful, slowest Clefairy. LEVEL-SCALED: rescales to the player, excluded from scoring.	data.js:trainers[4].normal	Measured	derived: team analysis; strategy_notes Inferred
4	Lass Anne	NA	route	Viridian Forest	hardcore	0	Brock	15	TRUE	0|Viridian Forest|Lass Anne	3	Stufful:14:102:Cute Charm:Oran Berry:Bashful:31/31/31/31/31/31:0/0/0/0/0/0:Low Sweep,Tackle,Aerial Ace|Clefairy:12:104:Cute Charm:Life Orb:Bashful:31/31/31/31/31/31:0/0/0/0/0/0:Metronome|Audino:14:102:UNK:NONE:Bashful:0/31/0/31/0/31:0/0/0/0/0/0:Swagger,Protect,Wish,Yawn	Stufful,Clefairy,Audino	14	12	Normal,Fighting,Flying	45.0	Stufful	Clefairy	Fighting	NONE	3 slots, levels 12-14. Offense covers 3 types. Shared weakness: Fighting. Speed spans 35-50 base, fastest Stufful, slowest Clefairy. LEVEL-SCALED: rescales to the player, excluded from scoring.	data.js:trainers[4].hardcore	Measured	derived: team analysis; strategy_notes Inferred
5	Gentleman Komodo	NA	boss_candidate	Route 5 Daycare	normal	2	Misty	27	FALSE	2|Route 5 Daycare|Gentleman Komodo	6	Overqwil:100:100:Intimidate:Black Sludge:Careful:31/31/31/31/31/31:0/0/0/0/0/0:Toxic Spikes,Throat Chop,Poison Jab,Waterfall|Goodra-Hisui:100:100:Gooey:Assault Vest:Modest:31/31/31/31/31/31:0/0/0/0/0/0:Dragon Pulse,Flash Cannon,Flamethrower,Thunderbolt|Arcanine-Hisui:100:100:Rock Head:Life Orb:Jolly:31/31/31/31/31/31:0/0/0/0/0/0:Flare Blitz,Head Smash,Accelerock,Teleport|Lilligant-Hisui:100:100:Chlorophyll:Focus Sash:Jolly:31/31/31/31/31/31:0/0/0/0/0/0:Victory Dance,Drain Punch,Leaf Blade,Stone Edge|Avalugg-Hisui:100:100:Technician:Leftovers:Impish:31/31/31/31/31/31:0/0/0/0/0/0:Icicle Crash,Stone Edge,Ice Shard,Recover|Kleavor:100:100:Sharpness:Life Orb:Jolly:31/31/31/31/31/31:0/0/0/0/0/0:Swords Dance,X-Scissor,Accelerock,Stone Axe	Overqwil,Goodra-Hisui,Arcanine-Hisui,Lilligant-Hisui,Avalugg-Hisui,Kleavor	100	100	Fighting,Poison,Rock,Bug,Steel,Fire,Water,Grass,Electric,Ice,Dragon,Dark	75.5	Lilligant-Hisui	Avalugg-Hisui	Ground,Fighting,Rock,Water	NONE	6 slots, levels 100-100. Offense covers 12 types. Shared weakness: Ground, Fighting, Rock, Water. Speed spans 28-105 base, fastest Lilligant-Hisui, slowest Avalugg-Hisui.	data.js:trainers[5].normal	Measured	derived: team analysis; strategy_notes Inferred
5	Gentleman Komodo	NA	boss_candidate	Route 5 Daycare	hardcore	2	Misty	27	FALSE	2|Route 5 Daycare|Gentleman Komodo	6	Overqwil:100:100:Intimidate:Black Sludge:Careful:31/31/31/31/31/31:0/0/0/0/0/0:Toxic Spikes,Throat Chop,Poison Jab,Waterfall|Goodra-Hisui:100:100:Gooey:Assault Vest:Modest:31/31/31/31/31/31:0/0/0/0/0/0:Dragon Pulse,Flash Cannon,Flamethrower,Thunderbolt|Arcanine-Hisui:100:100:Rock Head:Life Orb:Jolly:31/31/31/31/31/31:0/0/0/0/0/0:Flare Blitz,Head Smash,Accelerock,Teleport|Lilligant-Hisui:100:100:Chlorophyll:Focus Sash:Jolly:31/31/31/31/31/31:0/0/0/0/0/0:Victory Dance,Drain Punch,Leaf Blade,Stone Edge|Avalugg-Hisui:100:100:Technician:Leftovers:Impish:31/31/31/31/31/31:0/0/0/0/0/0:Icicle Crash,Stone Edge,Ice Shard,Recover|Kleavor:100:100:Sharpness:Life Orb:Jolly:31/31/31/31/31/31:0/0/0/0/0/0:Swords Dance,X-Scissor,Accelerock,Stone Axe	Overqwil,Goodra-Hisui,Arcanine-Hisui,Lilligant-Hisui,Avalugg-Hisui,Kleavor	100	100	Fighting,Poison,Rock,Bug,Steel,Fire,Water,Grass,Electric,Ice,Dragon,Dark	75.5	Lilligant-Hisui	Avalugg-Hisui	Ground,Fighting,Rock,Water	NONE	6 slots, levels 100-100. Offense covers 12 types. Shared weakness: Ground, Fighting, Rock, Water. Speed spans 28-105 base, fastest Lilligant-Hisui, slowest Avalugg-Hisui.	data.js:trainers[5].hardcore	Measured	derived: team analysis; strategy_notes Inferred
6	Friendly PkMnManiac	NA	boss_candidate	Cerulean City Move Maniac House	normal	2	Misty	27	FALSE	2|Cerulean City Move Maniac House|Friendly PkMnManiac	6	Aron:5:5:Sturdy:Focus Sash:Jolly:31/31/31/31/31/31:0/0/0/0/0/0:Stealth Rock,Double-Edge,Rock Slide,Bulldoze|Pikachu-Belle:5:5:UNK:Light Ball:Jolly:31/31/31/31/31/31:0/0/0/0/0/0:Thunderbolt,Freezy Frost,Volt Tackle|Gastly:5:5:UNK:Life Orb:Timid:31/31/31/31/31/31:0/0/0/0/0/0:Thunderbolt,Shadow Ball,Sludge Bomb,Giga Drain|Skorupi:5:5:Frisk:Black Sludge:Brave:31/31/0/31/31/31:0/0/0/0/0/0:Poison Jab,X-Scissor|Timburr:5:5:Guts:Choice Scarf:Timid:31/0/15/31/31/31:0/0/0/0/0/0:Ice Punch|Larvesta:5:5:Swarm:Rocky Helmet:Bashful:31/31/31/31/31/15:0/0/0/0/0/0:Flare Blitz,U-turn,Morning Sun,Will-O-Wisp	Aron,Pikachu-Belle,Gastly,Skorupi,Timburr,Larvesta	5	5	Normal,Poison,Ground,Rock,Bug,Ghost,Fire,Grass,Electric,Ice	60.0	Pikachu-Belle	Aron	Ground,Rock,Psychic,Flying	NONE	6 slots, levels 5-5. Offense covers 10 types. Shared weakness: Ground, Rock, Psychic, Flying. Speed spans 30-90 base, fastest Pikachu-Belle, slowest Aron.	data.js:trainers[6].normal	Measured	derived: team analysis; strategy_notes Inferred
6	Friendly PkMnManiac	NA	boss_candidate	Cerulean City Move Maniac House	hardcore	2	Misty	27	FALSE	2|Cerulean City Move Maniac House|Friendly PkMnManiac	6	Aron:5:5:Sturdy:Focus Sash:Jolly:31/31/31/31/31/31:0/0/0/0/0/0:Stealth Rock,Double-Edge,Rock Slide,Bulldoze|Pikachu-Belle:5:5:UNK:Light Ball:Jolly:31/31/31/31/31/31:0/0/0/0/0/0:Thunderbolt,Freezy Frost,Volt Tackle|Gastly:5:5:UNK:Life Orb:Timid:31/31/31/31/31/31:0/0/0/0/0/0:Thunderbolt,Shadow Ball,Sludge Bomb,Giga Drain|Skorupi:5:5:Frisk:Black Sludge:Brave:31/31/0/31/31/31:0/0/0/0/0/0:Poison Jab,X-Scissor|Timburr:5:5:Guts:Choice Scarf:Timid:31/0/15/31/31/31:0/0/0/0/0/0:Ice Punch|Larvesta:5:5:Swarm:Rocky Helmet:Bashful:31/31/31/31/31/15:0/0/0/0/0/0:Flare Blitz,U-turn,Morning Sun,Will-O-Wisp	Aron,Pikachu-Belle,Gastly,Skorupi,Timburr,Larvesta	5	5	Normal,Poison,Ground,Rock,Bug,Ghost,Fire,Grass,Electric,Ice	60.0	Pikachu-Belle	Aron	Ground,Rock,Psychic,Flying	NONE	6 slots, levels 5-5. Offense covers 10 types. Shared weakness: Ground, Rock, Psychic, Flying. Speed spans 30-90 base, fastest Pikachu-Belle, slowest Aron.	data.js:trainers[6].hardcore	Measured	derived: team analysis; strategy_notes Inferred
