checkpoint_index	checkpoint_name	level_cap	cap_secondary	trainers_total	authored_boss_candidates	scored_roster_slots	has_own_roster	source_record	confidence
0	Brock	15	16	18	2	10	TRUE	data.js:caps[Brock]	Measured
1	Archer-1	22	23	21	1	4	TRUE	data.js:caps[Archer-1]	Measured
2	Misty	27	28	60	4	20	TRUE	data.js:caps[Misty]	Measured
3	Surge	34	36	76	13	64	TRUE	data.js:caps[Surge]	Measured
4	Erika	44	44	9	3	14	TRUE	data.js:caps[Erika]	Measured
5	Giovanni-1	47	47	14	4	21	TRUE	data.js:caps[Giovanni-1]	Measured
6	Archer-2	56	56	40	8	35	TRUE	data.js:caps[Archer-2]	Measured
7	Giovanni-2	57	57	1	1	6	TRUE	data.js:caps[Giovanni-2]	Measured
8	Sabrina	59	59	12	2	10	TRUE	data.js:caps[Sabrina]	Measured
9	Koga	68	68	69	8	35	TRUE	data.js:caps[Koga]	Measured
10	May	73	73	38	7	34	TRUE	data.js:caps[May]	Measured
11	Blaine	76	76	14	2	10	TRUE	data.js:caps[Blaine]	Measured
12	Archer-3	79	79	6	2	8	TRUE	data.js:caps[Archer-3]	Measured
13	Giovanni-3	80	80	2	1	6	TRUE	data.js:caps[Giovanni-3]	Measured
14	Clair	81	81	3	1	6	TRUE	data.js:caps[Clair]	Measured
15	Brendan	82	82	7	1	6	TRUE	data.js:caps[Brendan]	Measured
16	Elite-4	85	85	24	9	48	TRUE	data.js:caps[Elite-4]	Measured
17	Post-Game	100	100	50	0	0	FALSE	data.js:caps[Post-Game]	Measured
