lineage_id	checkpoints	raw_mean_vorp	dead_weight_penalty	lineage_vorp	comes_online_at	forms
120	14	0.2573	0.0	0.2573	3	Starmie
484	16	0.2348	0.0	0.2348	1	Purugly
241	14	0.2297	0.0	0.2297	3	Miltank
769	16	0.2347	0.0056	0.2291	1	Talonflame
1335	17	0.2255	0.0026	0.223	0	Kilowattrel
822	17	0.2271	0.0044	0.2226	0	Noivern
493	8	0.2035	0.0	0.2035	9	Blissey
407	2	0.2002	0.0	0.2002	15	Latias-Mega
541	8	0.1996	0.0	0.1996	9	Cresselia
328	8	0.1987	0.0	0.1987	9	Milotic
1185	16	0.1972	0.0006	0.1966	1	Zarude
647	8	0.1949	0.0	0.1949	9	Alomomola
748	2	0.1915	0.0	0.1915	15	Chien-Pao
200	16	0.1889	0.0	0.1889	1	Mismagius
1245	8	0.1815	0.0	0.1815	9	Screamtail
387	15	0.1921	0.011	0.1811	2	Illumise
187	17	0.1842	0.0035	0.1807	2	Jumpluff
1364	7	0.1768	0.0	0.1768	10	Fezandipiti
41	16	0.1771	0.0024	0.1747	1	Crobat
21	17	0.1833	0.0101	0.1732	1	Fearow
1246	15	0.1718	0.0013	0.1704	1	Flutter Mane
409	1	0.1702	0.0	0.1702	16	Jirachi
1368	14	0.1701	0.0	0.1701	3	Iron Crown
1177	11	0.1699	0.0	0.1699	6	Dragapult
539	16	0.1681	0.0	0.1681	1	Regigigas
1354	1	0.1676	0.0	0.1676	16	Walking Wake
1078	7	0.1644	0.0	0.1644	10	Zeraora
480	16	0.1623	0.0	0.1623	1	Lopunny,Lopunny-Mega
700	7	0.1619	0.0	0.1619	10	Keldeo
207	15	0.1629	0.0022	0.1608	2	Gliscor
1263	8	0.1606	0.0002	0.1604	9	Iron Jugulis
764	16	0.1614	0.0015	0.16	1	Greninja
1373	14	0.1611	0.0054	0.1557	3	Iron Boulder
56	16	0.1557	0.0016	0.154	1	Annihilape
1002	7	0.1534	0.0	0.1534	10	Tapu Koko
840	16	0.1568	0.0043	0.1525	1	Tinkaton
142	14	0.1548	0.0025	0.1523	3	Aerodactyl,Aerodactyl-Mega
128	14	0.1514	0.0	0.1514	3	Tauros
