dex_number	internal_id	species_name	form_name	form_type	lineage_id	evo_stage	form_key	sprite_key	evolves_from	evolves_into	evo_method_id	evo_method_text	evo_param	evo_param_item	evo_item_obtainable	type_1	type_2	hp	atk	def	spa	spd	spe	bst	ability_1	ability_2	ability_hidden	levelup_moves	tm_moves	tutor_moves	egg_moves	egg_groups	held_items	availability	earliest_gate	earliest_gate_name	earliest_level	earliest_gate_basis	is_starter	starter_reobtainable	wild_obtainable	one_time_only	missable	source_record	confidence	notes
1	1	Bulbasaur	NONE	base	1	1	Bulbasaur	1	NONE	Ivysaur	4	at Level 16	16	NA	NA	Grass	Poison	45	49	49	65	65	45	318	Chlorophyll	Overgrow	NONE	Tackle:1,Growl:3,Leech Seed:7,Magical Leaf:9,Poison Powder:13,Sleep Powder:13,Sludge:15,Mega Drain:19,Take Down:21,Growth:25,Double-Edge:27,Worry Seed:31,Synthesis:33,Seed Bomb:37	3:Seed Bomb,5:Toxic,8:Bullet Seed,9:Hidden Power,15:Light Screen,16:Protect,18:Giga Drain,21:Weather Ball,26:Return,27:Dig,32:Reflect,35:Sludge Bomb,41:Facade,43:Rest,52:Energy Ball,53:Grassy Glide,62:Venoshock,74:Knock Off,81:Sleep Talk,85:Grass Knot,120:Cut,123:Strength,124:Flash,125:Rock Smash	0:Work Up,21:Celebrate,53:Swords Dance,74:Substitute,91:Body Slam,99:Sunny Day,101:Solar Beam,126:Power Whip	Skull Bash,Charm,Petal Dance,Magical Leaf,Grass Whistle,Curse,Ingrain,Nature Power,Amnesia,Leaf Storm,Power Whip,Sludge,Endure,Giga Drain,Grassy Terrain	Monster,Grass	NONE	Pallet Town Oak's Lab:fixed-gift:0:NA:NA|Celadon City Mansion 1F:fixed-gift:3:NA:NA|Route 13:wild-day:9:48-50:6|Route 13:wild-day:9:48-50:7	0	Brock	NA	direct	TRUE	TRUE	TRUE	FALSE	FALSE	data.js:species[1]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
2	2	Ivysaur	NONE	base	1	2	Ivysaur	2	Bulbasaur	Venusaur	4	at Level 36	36	NA	NA	Grass	Poison	60	62	63	80	80	60	405	Chlorophyll	Overgrow	NONE	Tackle:1,Growl:1,Leech Seed:1,Growl:3,Leech Seed:7,Magical Leaf:9,Poison Powder:13,Sleep Powder:13,Sludge:15,Mega Drain:20,Take Down:23,Growth:28,Double-Edge:31,Sludge Bomb:36,Synthesis:39,Solar Beam:44	3:Seed Bomb,5:Toxic,8:Bullet Seed,9:Hidden Power,15:Light Screen,16:Protect,18:Giga Drain,21:Weather Ball,26:Return,27:Dig,32:Reflect,35:Sludge Bomb,41:Facade,43:Rest,52:Energy Ball,53:Grassy Glide,62:Venoshock,74:Knock Off,81:Sleep Talk,85:Grass Knot,120:Cut,123:Strength,124:Flash,125:Rock Smash	0:Work Up,21:Celebrate,53:Swords Dance,74:Substitute,91:Body Slam,99:Sunny Day,101:Solar Beam,126:Power Whip	Skull Bash,Charm,Petal Dance,Magical Leaf,Grass Whistle,Curse,Ingrain,Nature Power,Amnesia,Leaf Storm,Power Whip,Sludge,Endure,Giga Drain,Grassy Terrain	Monster,Grass	NONE	NONE	0	Brock	UNK	via-evolution	FALSE	NA	FALSE	FALSE	FALSE	data.js:species[2]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
3	3	Venusaur	NONE	base	1	3	Venusaur	3	Ivysaur	Venusaur	254	with the evo[3] === 2 ? 'move ' + moves[533].name : items[533].name	533	Venusaurite	UNK	Grass	Poison	80	82	83	100	100	80	525	Chlorophyll	Overgrow	NONE	Petal Dance:0,Petal Dance:1,Tackle:1,Growl:1,Leech Seed:1,Magical Leaf:1,Growl:3,Leech Seed:7,Vine Whip:9,Poison Powder:13,Sleep Powder:13,Take Down:15,Mega Drain:20,Sludge:23,Growth:28,Double-Edge:31,Sludge Bomb:39,Synthesis:45,Petal Blizzard:50,Solar Beam:53,Chloroblast:64	3:Seed Bomb,4:Roar,5:Toxic,8:Bullet Seed,9:Hidden Power,15:Light Screen,16:Protect,18:Giga Drain,21:Weather Ball,25:Earthquake,26:Return,27:Dig,32:Reflect,35:Sludge Bomb,41:Facade,43:Rest,52:Energy Ball,53:Grassy Glide,62:Venoshock,68:Stomping Tantrum,74:Knock Off,75:Earth Power,81:Sleep Talk,85:Grass Knot,95:Bulldoze,120:Cut,123:Strength,124:Flash,125:Rock Smash	0:Work Up,21:Celebrate,53:Swords Dance,61:Frenzy Plant,74:Substitute,91:Body Slam,99:Sunny Day,101:Solar Beam,126:Power Whip	Skull Bash,Charm,Petal Dance,Magical Leaf,Grass Whistle,Curse,Ingrain,Nature Power,Amnesia,Leaf Storm,Power Whip,Sludge,Endure,Giga Drain,Grassy Terrain	Monster,Grass	NONE	NONE	0	Brock	UNK	via-evolution	FALSE	NA	FALSE	FALSE	FALSE	data.js:species[3]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
4	4	Charmander	NONE	base	4	1	Charmander	4	NONE	Charmeleon	4	at Level 16	16	NA	NA	Fire	NONE	39	52	43	60	50	65	309	Solar Power	Blaze	NONE	Scratch:1,Growl:1,False Swipe:5,Ember:7,Brick Break:9,Ancient Power:12,Fire Fang:14,Scary Face:19,Thunder Punch:24,Flame Burst:28,Slash:34,Flamethrower:37,Fire Spin:43,Inferno:46	1:Dragon Claw,5:Toxic,6:Heat Wave,9:Hidden Power,16:Protect,21:Weather Ball,26:Return,27:Dig,30:Brick Break,32:Reflect,34:Flamethrower,37:Fire Blast,38:Rock Tomb,41:Facade,43:Rest,49:Overheat,56:Temper Flare,58:Dragon Pulse,60:Will-O-Wisp,61:Iron Tail,64:Shadow Claw,76:Thunder Punch,79:Rock Slide,81:Sleep Talk,86:Aerial Ace,97:Fire Punch,105:Acrobatics,109:Scorching Sands,120:Cut,123:Strength,125:Rock Smash	0:Work Up,1:Power-Up Punch,2:Flame Charge,21:Celebrate,39:Dragon Dance,53:Swords Dance,74:Substitute,90:Fire Fang,91:Body Slam,99:Sunny Day,102:Hone Claws,120:Focus Punch,121:Flare Blitz	Belly Drum,Ancient Power,Bite,Outrage,Fire Lash,Dragon Dance,Crunch,Dragon Rush,Metal Claw,Flare Blitz,Counter,Dragon Pulse,Focus Punch,Air Cutter	Monster,Dragon	NONE	Pallet Town Oak's Lab:fixed-gift:0:NA:NA|Celadon City Mansion 1F:fixed-gift:3:NA:NA|Route 13:wild-day:9:48-50:10|Route 13:wild-day:9:48-50:11|Route 13:wild-night:9:48-50:6|Route 13:wild-night:9:48-50:7	0	Brock	NA	direct	TRUE	TRUE	TRUE	FALSE	FALSE	data.js:species[4]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
5	5	Charmeleon	NONE	base	4	2	Charmeleon	5	Charmander	Charizard	4	at Level 36	36	NA	NA	Fire	NONE	58	64	58	80	65	80	405	Solar Power	Blaze	NONE	Incinerate:0,Incinerate:1,Scratch:1,Growl:1,False Swipe:5,Ember:7,Brick Break:9,Ancient Power:12,Fire Fang:15,Scary Face:21,Thunder Punch:24,Flame Burst:28,Slash:37,Flamethrower:43,Fire Spin:50,Inferno:54	1:Dragon Claw,5:Toxic,6:Heat Wave,9:Hidden Power,16:Protect,21:Weather Ball,26:Return,27:Dig,30:Brick Break,32:Reflect,34:Flamethrower,37:Fire Blast,38:Rock Tomb,41:Facade,43:Rest,49:Overheat,56:Temper Flare,58:Dragon Pulse,60:Will-O-Wisp,61:Iron Tail,64:Shadow Claw,76:Thunder Punch,79:Rock Slide,81:Sleep Talk,86:Aerial Ace,97:Fire Punch,105:Acrobatics,109:Scorching Sands,120:Cut,123:Strength,125:Rock Smash	0:Work Up,1:Power-Up Punch,2:Flame Charge,21:Celebrate,39:Dragon Dance,53:Swords Dance,74:Substitute,90:Fire Fang,91:Body Slam,99:Sunny Day,102:Hone Claws,120:Focus Punch,121:Flare Blitz	Belly Drum,Ancient Power,Bite,Outrage,Fire Lash,Dragon Dance,Crunch,Dragon Rush,Metal Claw,Flare Blitz,Counter,Dragon Pulse,Focus Punch,Air Cutter	Monster,Dragon	NONE	NONE	0	Brock	UNK	via-evolution	FALSE	NA	FALSE	FALSE	FALSE	data.js:species[5]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
6	6	Charizard	NONE	base	4	3	Charizard	6	Charmeleon	Charizard,Charizard	254,254	with the evo[3] === 2 ? 'move ' + moves[534].name : items[534].name,with the evo[3] === 2 ? 'move ' + moves[535].name : items[535].name	534,535	Charzardite X,Charzardite Y	UNK	Fire	Flying	78	84	78	109	85	100	534	Solar Power	Blaze	NONE	Dual Wingbeat:0,Dual Wingbeat:1,Incinerate:1,Flare Blitz:1,Heat Wave:1,Dragon Claw:1,Shadow Claw:1,Air Slash:1,Scratch:1,Growl:1,False Swipe:5,Ember:7,Brick Break:9,Ancient Power:12,Fire Fang:15,Dragon Rage:17,Scary Face:21,Thunder Punch:24,Flame Burst:28,Slash:41,Flamethrower:47,Fire Spin:51,Inferno:56,Dragon Dance:60,Heat Wave:71,Flare Blitz:77	1:Dragon Claw,4:Roar,5:Toxic,6:Heat Wave,9:Hidden Power,16:Protect,21:Weather Ball,25:Earthquake,26:Return,27:Dig,30:Brick Break,31:Aura Sphere,32:Reflect,34:Flamethrower,37:Fire Blast,38:Rock Tomb,41:Facade,42:Defog,43:Rest,46:Steel Wing,47:Hurricane,49:Overheat,50:Roost,51:Focus Blast,55:Air Slash,56:Temper Flare,58:Dragon Pulse,60:Will-O-Wisp,61:Iron Tail,64:Shadow Claw,71:Draco Barrage,76:Thunder Punch,79:Rock Slide,81:Sleep Talk,86:Aerial Ace,92:Dragon Tail,93:Scale Shot,95:Bulldoze,97:Fire Punch,99:Dual Wingbeat,105:Acrobatics,109:Scorching Sands,113:Heat Crash,118:Draco Meteor,120:Cut,121:Fly,123:Strength,125:Rock Smash	0:Work Up,1:Power-Up Punch,2:Flame Charge,28:Tailwind,39:Dragon Dance,53:Swords Dance,62:Blast Burn,74:Substitute,90:Fire Fang,91:Body Slam,99:Sunny Day,101:Solar Beam,102:Hone Claws,104:Blaze Kick,112:Mystical Fire,120:Focus Punch,121:Flare Blitz	Belly Drum,Ancient Power,Bite,Outrage,Fire Lash,Dragon Dance,Crunch,Dragon Rush,Metal Claw,Flare Blitz,Counter,Dragon Pulse,Focus Punch,Air Cutter	Monster,Dragon	NONE	NONE	0	Brock	UNK	via-evolution	FALSE	NA	FALSE	FALSE	FALSE	data.js:species[6]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
7	7	Squirtle	NONE	base	7	1	Squirtle	7	NONE	Wartortle	4	at Level 16	16	NA	NA	Water	NONE	44	48	65	50	64	43	314	Rain Dish	Torrent	NONE	Tackle:1,False Swipe:1,Tail Whip:4,Bubble:7,Rapid Spin:10,Water Pulse:13,Bite:16,Fake Out:19,Detect:22,Water Pulse:25,Aqua Tail:28,Skull Bash:31,Iron Defense:34,Rain Dance:37,Hydro Pump:40	2:Flip Turn,5:Toxic,7:Zen Headbutt,9:Hidden Power,12:Ice Beam,13:Blizzard,16:Protect,17:Hydro Pump,20:Icy Wind,21:Weather Ball,26:Return,27:Dig,30:Brick Break,31:Aura Sphere,32:Reflect,38:Rock Tomb,41:Facade,43:Rest,58:Dragon Pulse,61:Iron Tail,73:Gyro Ball,81:Sleep Talk,82:Scald,100:Ice Punch,122:Surf,123:Strength,125:Rock Smash,126:Waterfall	0:Work Up,1:Power-Up Punch,20:Iron Defense,21:Celebrate,50:Snowscape,74:Substitute,91:Body Slam,120:Focus Punch,123:Rain Dance	Mirror Coat,Haze,Mist,Flail,Refresh,Mud Sport,Yawn,Muddy Water,Fake Out,Aqua Ring,Aqua Jet,Water Spout,Brine,Dragon Pulse,Aura Sphere,Life Dew	Monster,Water1	NONE	Pallet Town Oak's Lab:fixed-gift:0:NA:NA|Celadon City Mansion 1F:fixed-gift:3:NA:NA	0	Brock	NA	direct	TRUE	TRUE	FALSE	TRUE	FALSE	data.js:species[7]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
8	8	Wartortle	NONE	base	7	2	Wartortle	8	Squirtle	Blastoise	4	at Level 36	36	NA	NA	Water	NONE	59	63	80	65	80	58	405	Rain Dish	Torrent	NONE	Icy Wind:0,False Swipe:1,Withdraw:1,Icy Wind:1,Tackle:1,Water Gun:1,Tail Whip:4,Bubble:7,Rapid Spin:10,Water Pulse:13,Bite:17,Fake Out:19,Detect:22,Aqua Tail:33,Skull Bash:37,Iron Defense:41,Rain Dance:45,Hydro Pump:49	2:Flip Turn,5:Toxic,7:Zen Headbutt,9:Hidden Power,12:Ice Beam,13:Blizzard,16:Protect,17:Hydro Pump,20:Icy Wind,21:Weather Ball,26:Return,27:Dig,30:Brick Break,31:Aura Sphere,32:Reflect,38:Rock Tomb,41:Facade,43:Rest,58:Dragon Pulse,61:Iron Tail,73:Gyro Ball,81:Sleep Talk,82:Scald,100:Ice Punch,122:Surf,123:Strength,125:Rock Smash,126:Waterfall	0:Work Up,1:Power-Up Punch,20:Iron Defense,21:Celebrate,50:Snowscape,74:Substitute,91:Body Slam,120:Focus Punch,123:Rain Dance	Mirror Coat,Haze,Mist,Flail,Refresh,Mud Sport,Yawn,Muddy Water,Fake Out,Aqua Ring,Aqua Jet,Water Spout,Brine,Dragon Pulse,Aura Sphere,Life Dew	Monster,Water1	NONE	NONE	0	Brock	UNK	via-evolution	FALSE	NA	FALSE	FALSE	FALSE	data.js:species[8]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
9	9	Blastoise	NONE	base	7	3	Blastoise	9	Wartortle	Blastoise	254	with the evo[3] === 2 ? 'move ' + moves[536].name : items[536].name	536	Blastoisnite	UNK	Water	NONE	79	83	100	85	105	78	530	Rain Dish	Torrent	NONE	Scald:0,False Swipe:1,Flash Cannon:1,Water Gun:1,Scald:1,Icy Wind:1,Tail Whip:4,Water Gun:7,Withdraw:10,Bubble:13,Bite:17,Fake Out:19,Rapid Spin:20,Detect:22,Water Pulse:25,Aqua Tail:33,Skull Bash:40,Ice Beam:44,Iron Defense:47,Rain Dance:54,Hydro Pump:60,Shell Smash:82	2:Flip Turn,4:Roar,5:Toxic,7:Zen Headbutt,9:Hidden Power,12:Ice Beam,13:Blizzard,16:Protect,17:Hydro Pump,20:Icy Wind,21:Weather Ball,25:Earthquake,26:Return,27:Dig,30:Brick Break,31:Aura Sphere,32:Reflect,38:Rock Tomb,40:Liquidation,41:Facade,43:Rest,51:Focus Blast,58:Dragon Pulse,61:Iron Tail,73:Gyro Ball,78:Dark Pulse,79:Rock Slide,81:Sleep Talk,82:Scald,90:Flash Cannon,92:Dragon Tail,95:Bulldoze,100:Ice Punch,114:Body Press,122:Surf,123:Strength,125:Rock Smash,126:Waterfall	0:Work Up,1:Power-Up Punch,20:Iron Defense,21:Celebrate,50:Snowscape,63:Hydro Cannon,74:Substitute,91:Body Slam,120:Focus Punch,123:Rain Dance	Mirror Coat,Haze,Mist,Flail,Refresh,Mud Sport,Yawn,Muddy Water,Fake Out,Aqua Ring,Aqua Jet,Water Spout,Brine,Dragon Pulse,Aura Sphere,Life Dew	Monster,Water1	NONE	NONE	0	Brock	UNK	via-evolution	FALSE	NA	FALSE	FALSE	FALSE	data.js:species[9]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
10	10	Caterpie	NONE	base	10	1	Caterpie	10	NONE	Metapod	4	at Level 7	7	NA	NA	Bug	NONE	45	30	35	20	20	45	195	Run Away	Shield Dust	NONE	Tackle:1,String Shot:1,Bug Bite:7	14:Electroweb	13:Bug Bite	NONE	Bug,Bug	Coba Berry	Viridian Forest:wild-day:0:4-6:0|Viridian Forest Heart:wild-day:0:4-6:0	0	Brock	4	direct	FALSE	NA	TRUE	FALSE	FALSE	data.js:species[10]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
