move_id	name	type	category	power	accuracy	pp	priority	secondary_chance	target	tm_slot	tm_number	tutor_slot	is_placeholder	source_record	confidence	description
1	Pound	Normal	Physical	40	100	35	0	0	0	NA	NA	NA	FALSE	data.js:moves[1]	Measured	A physical attack delivered with a long tail or a foreleg, etc.
2	Karate Chop	Fighting	Physical	50	100	25	0	0	0	NA	NA	NA	FALSE	data.js:moves[2]	Measured	The foe is attacked with a sharp chop. It has a high critical-hit ratio.
3	Double Slap	Normal	Physical	15	100	10	0	0	0	NA	NA	NA	FALSE	data.js:moves[3]	Measured	The foe is slapped repeatedly, back and forth, two to five times.
4	Comet Punch	Normal	Physical	18	85	15	0	0	0	NA	NA	NA	FALSE	data.js:moves[4]	Measured	The foe is hit with a flurry of punches that strike two to five times.
5	Mega Punch	Normal	Physical	80	85	20	0	0	0	NA	NA	NA	FALSE	data.js:moves[5]	Measured	The foe is slugged by a punch thrown with muscle-packed power.
6	Pay Day	Normal	Physical	40	100	20	0	100	0	NA	NA	NA	FALSE	data.js:moves[6]	Measured	Numerous coins are hurled at the foe. Money is earned after battle.
7	Fire Punch	Fire	Physical	75	100	15	0	10	0	97	98	NA	FALSE	data.js:moves[7]	Measured	The foe is punched with a fiery fist. It may leave the foe with a burn.
8	Ice Punch	Ice	Physical	75	100	15	0	10	0	100	101	NA	FALSE	data.js:moves[8]	Measured	The foe is punched with an icy fist. It may leave the foe frostbitten.
9	Thunder Punch	Electric	Physical	75	100	15	0	10	0	76	77	NA	FALSE	data.js:moves[9]	Measured	The foe is punched with an electrified fist. It may leave the foe paralyzed.
10	Scratch	Normal	Physical	40	100	35	0	0	0	NA	NA	NA	FALSE	data.js:moves[10]	Measured	Hard, pointed, and sharp claws rake the foe.
11	Vise Grip	Normal	Physical	55	100	30	0	0	0	NA	NA	NA	FALSE	data.js:moves[11]	Measured	Huge, impressive pincers grip and squeeze the foe.
12	Guillotine	Normal	Physical	1	30	5	0	0	0	NA	NA	NA	FALSE	data.js:moves[12]	Measured	A vicious tearing attack with pincers. The foe will faint if it hits.
13	Razor Wind	Normal	Special	80	100	10	0	0	8	NA	NA	NA	FALSE	data.js:moves[13]	Measured	Blades of wind hit the foe on the 2nd turn. It has a high critical-hit ratio.
14	Swords Dance	Normal	Status	0	0	20	0	0	16	NA	NA	53	FALSE	data.js:moves[14]	Measured	A frenetic dance of fighting. It sharply raises the Attack stat.
15	Cut	Steel	Physical	75	100	25	0	0	0	120	121	NA	FALSE	data.js:moves[15]	Measured	A basic attack. It can be used to cut down thin trees and grass.
16	Gust	Flying	Special	40	100	35	0	0	0	NA	NA	NA	FALSE	data.js:moves[16]	Measured	Strikes the foe with a gust of wind whipped up by wings.
17	Wing Attack	Flying	Physical	60	100	35	0	0	0	NA	NA	NA	FALSE	data.js:moves[17]	Measured	The foe is struck with large, imposing wings spread wide.
