checkpoint	internal_id	form_key	track	setup_move	ceiling_item	ceiling_item_tag	ceiling_reliable	mean_margin	unlocked_margin	choice_locked	win_rate	switchin_safe_rate	setup_success_rate	slots_scored	reliable_item	item_dependence	moves	ev_spread	confidence
3	1	Bulbasaur	special	NONE	Poison Barb	type_boost	TRUE	48.5625	48.5625	FALSE	0.875	0.9531	NA	64	Poison Barb	0.0	Sludge,Magical Leaf,Venoshock,Leech Seed	252 SpA / 252 Spe / 6 HP	Derived
3	1	Bulbasaur	special_setup	Growth	Poison Barb	type_boost	TRUE	48.2344	48.2344	FALSE	0.7969	0.9531	0.9531	64	Poison Barb	0.0	Sludge,Magical Leaf,Growth,Leech Seed	252 SpA / 252 Spe / 6 HP	Derived
3	1	Bulbasaur	support	NONE	Berry Juice	longevity	TRUE	48.0156	48.0156	FALSE	0.8125	1	NA	64	Berry Juice	0.0	Sludge,Leech Seed,Poison Powder,Sleep Powder	252 HP / 252 Def / 6 SpD	Derived
3	2	Ivysaur	special	NONE	Poison Barb	type_boost	TRUE	49.125	49.125	FALSE	0.9063	1	NA	64	Poison Barb	0.0	Sludge,Magical Leaf,Venoshock,Leech Seed	252 SpA / 252 Spe / 6 HP	Derived
3	2	Ivysaur	special_setup	Growth	Poison Barb	type_boost	TRUE	48.8438	48.8438	FALSE	0.8906	1	1	64	Poison Barb	0.0	Sludge,Magical Leaf,Growth,Leech Seed	252 SpA / 252 Spe / 6 HP	Derived
3	3	Venusaur	special	NONE	Poison Barb	type_boost	TRUE	50.1563	50.1563	FALSE	0.9844	1	NA	64	Poison Barb	0.0	Petal Dance,Sludge,Venoshock,Leech Seed	252 SpA / 252 Spe / 6 HP	Derived
3	3	Venusaur	special_setup	Growth	Poison Barb	type_boost	TRUE	49.7656	49.7656	FALSE	0.9844	1	1	64	Poison Barb	0.0	Petal Dance,Sludge,Growth,Leech Seed	252 SpA / 252 Spe / 6 HP	Derived
3	4	Charmander	special	NONE	Charcoal	type_boost	TRUE	47.8438	47.8438	FALSE	0.8125	0.875	NA	64	Charcoal	0.0	Flame Burst,Ember,Ancient Power,Will-O-Wisp	252 SpA / 252 Spe / 6 HP	Derived
3	4	Charmander	special_setup	Work Up	Charcoal	type_boost	TRUE	42.9219	42.9219	FALSE	0.7656	0.875	0.875	64	Charcoal	0.0	Flame Burst,Ember,Work Up,Will-O-Wisp	252 SpA / 252 Spe / 6 HP	Derived
3	4	Charmander	support	NONE	Berry Juice	longevity	TRUE	43.4688	43.4688	FALSE	0.75	0.9375	NA	64	Berry Juice	0.0	Flame Burst,Will-O-Wisp	252 HP / 252 Def / 6 SpD	Derived
3	5	Charmeleon	special	NONE	Charcoal	type_boost	TRUE	48.4375	48.4375	FALSE	0.8594	0.9375	NA	64	Charcoal	0.0	Flame Burst,Ancient Power,Incinerate,Will-O-Wisp	252 SpA / 252 Spe / 6 HP	Derived
3	5	Charmeleon	special_setup	Work Up	Charcoal	type_boost	TRUE	48.125	48.125	FALSE	0.8281	0.9375	0.9375	64	Charcoal	0.0	Flame Burst,Ancient Power,Work Up,Will-O-Wisp	252 SpA / 252 Spe / 6 HP	Derived
3	6	Charizard	special	NONE	Charcoal	type_boost	TRUE	49.6563	49.6563	FALSE	0.9375	0.9375	NA	64	Charcoal	0.0	Heat Wave,Air Slash,Ancient Power,Roar	252 SpA / 252 Spe / 6 HP	Derived
3	6	Charizard	special_setup	Work Up	Sharp Beak	type_boost	TRUE	49.2188	49.2188	FALSE	0.8906	0.9375	0.9375	64	Sharp Beak	0.0	Heat Wave,Air Slash,Work Up,Roar	252 SpA / 252 Spe / 6 HP	Derived
3	7	Squirtle	physical	NONE	Mystic Water	type_boost	TRUE	48.0781	48.0781	FALSE	0.7813	0.875	NA	64	Mystic Water	0.0	Aqua Tail,Skull Bash,Iron Tail,Detect	252 Atk / 252 Spe / 6 HP	Derived
3	7	Squirtle	physical_setup	Work Up	Mystic Water	type_boost	TRUE	47.7344	47.7344	FALSE	0.7344	0.875	0.875	64	Mystic Water	0.0	Aqua Tail,Skull Bash,Work Up,Detect	252 Atk / 252 Spe / 6 HP	Derived
3	7	Squirtle	special	NONE	Mystic Water	type_boost	TRUE	47.6094	47.6094	FALSE	0.7656	0.875	NA	64	Mystic Water	0.0	Water Pulse,Bubble,Icy Wind,Detect	252 SpA / 252 Spe / 6 HP	Derived
3	7	Squirtle	special_setup	Work Up	Mystic Water	type_boost	TRUE	45.75	45.75	FALSE	0.6875	0.875	0.875	64	Mystic Water	0.0	Water Pulse,Bubble,Work Up,Detect	252 SpA / 252 Spe / 6 HP	Derived
