checkpoint	team_fit	threats	threats_covered	members	roles	items	simultaneously_equippable	equip_conflicts	confidence
0	1.0	10	10	Golem,Dottler,Drizzile,Chikorita,Florges,Sandslash-Alola	hazard_remover,screens_setter,screens_setter,screens_setter,wallbreaker_spec,hazard_setter	Soft Sand,Shell Bell,Mystic Water,Shell Bell,Pixie Plate,Wise Glasses	TRUE	NONE	Derived
1	1.0	4	4	Charizard,Talonflame,Flygon,Crobat,Noivern,Ledyba	revenge_killer,revenge_killer,revenge_killer,revenge_killer,revenge_killer,screens_setter	Sharp Beak,Sharp Beak,Soft Sand,Sharp Beak,Sharp Beak,Berry Juice	TRUE	NONE	Derived
2	0.187	20	14	Linoone-Galar,Hatenna,Meditite,Natu,Medicham,Audino	pivot,pivot,pivot,pivot,pivot,pivot	Berry Juice,Eviolite,Berry Juice,Eviolite,Berry Juice,Berry Juice	TRUE	NONE	Derived
3	1.0	64	64	Jumpluff,Flabébé,Floette,Floette-Eternal,Gossifleur,Spritzee	revenge_killer,cleric,cleric,cleric,cleric,cleric	Muscle Band,Berry Juice,Berry Juice,Expert Belt,Berry Juice,Berry Juice	TRUE	NONE	Derived
4	1.0	14	14	Jumpluff,Talonflame,Noivern,Kilowattrel,Fearow,Crobat	revenge_killer,revenge_killer,revenge_killer,revenge_killer,revenge_killer,revenge_killer	Sharp Beak,Sharp Beak,Sharp Beak,Sharp Beak,Sharp Beak,Sharp Beak	TRUE	NONE	Derived
5	1.0	21	21	Talonflame,Zarude,Froslass,Flutter Mane,Durant,Kilowattrel	revenge_killer,revenge_killer,revenge_killer,revenge_killer,revenge_killer,revenge_killer	Sharp Beak,Muscle Band,Expert Belt,Expert Belt,Metal Coat,Magnet	TRUE	NONE	Derived
6	1.0	35	35	Zarude,Floette,Swirlix,Flabébé,Pachirisu,Ducklett	revenge_killer,cleric,cleric,cleric,screens_setter,hazard_remover	Expert Belt,Berry Juice,Berry Juice,Berry Juice,Berry Juice,Berry Juice	TRUE	NONE	Derived
7	1.0	6	6	Inteleon,Starmie,Greninja,Swanna,Floatzel,Simipour	revenge_killer,revenge_killer,revenge_killer,revenge_killer,revenge_killer,revenge_killer	Mystic Water,Mystic Water,Expert Belt,Mystic Water,Mystic Water,Expert Belt	TRUE	NONE	Derived
8	1.0	10	10	Illumise,Accelgor,Dunsparce,Morelull,Slowpoke,Purugly	revenge_killer,revenge_killer,status_spreader,status_spreader,status_spreader,revenge_killer	Pixie Plate,SilverPowder,Berry Juice,Berry Juice,Berry Juice,Silk Scarf	TRUE	NONE	Derived
9	1.0	35	35	Cresselia,Floette,Flabébé,Swirlix,Carbink,Pachirisu	revenge_killer,cleric,cleric,cleric,screens_setter,screens_setter	Wise Glasses,Berry Juice,Berry Juice,Berry Juice,Berry Juice,Berry Juice	TRUE	NONE	Derived
10	1.0	34	34	Cresselia,Kilowattrel,Jumpluff,Cyclizar,Accelgor,Starmie	revenge_killer,revenge_killer,revenge_killer,revenge_killer,revenge_killer,revenge_killer	Life Orb,Life Orb,Life Orb,Life Orb,Life Orb,Life Orb	TRUE	NONE	Derived
11	1.0	10	10	Aerodactyl-Mega,Pachirisu,Carbink,Starmie,Iron Boulder,Aerodactyl	revenge_killer,screens_setter,screens_setter,revenge_killer,revenge_killer,revenge_killer	Life Orb,Berry Juice,Berry Juice,Life Orb,Life Orb,Choice Band	TRUE	NONE	Derived
12	1.0	8	8	Inteleon,Talonflame,Cinderace,Kilowattrel,Rapidash,Infernape	revenge_killer,revenge_killer,revenge_killer,revenge_killer,revenge_killer,revenge_killer	Choice Specs,Life Orb,Life Orb,Choice Specs,Life Orb,Life Orb	TRUE	NONE	Derived
13	1.0	6	6	Jellicent,Blissey,Chansey,Dunsparce,Umbreon,Audino	special_wall,special_wall,special_wall,status_spreader,special_wall,special_wall	Berry Juice,Berry Juice,Berry Juice,Berry Juice,Berry Juice,Berry Juice	TRUE	NONE	Derived
14	1.0	6	6	Milotic,Dunsparce,Blissey,Swirlix,Chansey,Floette	revenge_killer,status_spreader,special_wall,cleric,special_wall,cleric	Life Orb,Berry Juice,Berry Juice,Berry Juice,Berry Juice,Berry Juice	TRUE	NONE	Derived
15	1.0	6	6	Inteleon,Swirlix,Chien-Pao,Pheromosa,Kilowattrel,Greninja	revenge_killer,cleric,revenge_killer,revenge_killer,revenge_killer,revenge_killer	Life Orb,Berry Juice,Life Orb,Life Orb,Life Orb,Life Orb	TRUE	NONE	Derived
16	1.0	48	48	Donphan,Banette-Mega,Floette,Swirlix,Flabébé,Alomomola	wallbreaker_phys,wallbreaker_phys,cleric,cleric,cleric,cleric	Life Orb,Life Orb,Berry Juice,Berry Juice,Berry Juice,Berry Juice	TRUE	NONE	Derived
